lobbyist_action,uid,registrant_name,organization,employer,nature_of_business,subj_num1,subj_1,desc_1,subj_num2,subj_2,desc_2,subj_num_3,subj_3,desc_3,subj_num4,subj_4,desc_4,subj_num5,subj_5,desc_5
,A024322, William  A. Castelli, Rifkin Weiner Livingston LLC, Maryland Automobile Dealers Association, Trade Association,1,Other,Motor Vehicles,2,Other,Motor Vehicle Dealers and Salesmen,3,Other,Motor Vehicle Equipment,4,Other,Motor Vehicle Registrations,,,
,A024324, Obie  Chinemere, Rifkin Weiner Livingston LLC," URW Airports, LLC", Developer,1,Other,Procurement,2,Other,Taxation/Corporate,3,Other,Real Estate Investment Trusts (REITs),,,,,,
,A024326, Obie  Chinemere, Rifkin Weiner Livingston LLC, Washington Area New Automobile Dealers Association (WANADA), Trade Association,1,Vehicle Laws - Licensing and Registration,,2,Other,Automobile Industry,3,Other,Motor Vehicle,4,Other,Motor Vehicle/Dealers & Salesmen,5,Other,Motor Vehicle Equipment
,A024328, William  A. Castelli, Rifkin Weiner Livingston LLC, Maryland Sports Promotion Coalition, Legislative Coalition,1,Other,Sports,2,Other,Promotions,,,,,,,,,
,A024330, William  A. Castelli, Rifkin Weiner Livingston LLC, Modern Living Solutions, Housing Developer,1,Other,Modular Housing,,,,,,,,,,,,
,A024332, William  A. Castelli, Rifkin Weiner Livingston LLC," Orsted North America, Inc.", Renewable Energy Developer,1,Energy,,,,,,,,,,,,,
,A024334, William  A. Castelli, Rifkin Weiner Livingston LLC," Pepco Holdings, Inc.", Electric Company,1,Energy,,2,Other,Utilities,3,Other,Electricity Regulation,,,,,,
,A024336, William  A. Castelli, Rifkin Weiner Livingston LLC, Reed Group, Management Solutions,1,Workers' Compensation,,2,Other,Medical Guidelines,,,,,,,,,
,A024338, William  A. Castelli, Rifkin Weiner Livingston LLC, SCI Management, Funeral and Cemetery Services,1,Other,Cemetery,2,Other,Funerals,,,,,,,,,
,A024340, William  A. Castelli, Rifkin Weiner Livingston LLC," Community Builders, The", Real Estate Developer,,,,,,,,,,,,,,,
,A024342, William  A. Castelli, Rifkin Weiner Livingston LLC, Washington Area New Automobile Dealers Association (WANADA), Trade Association,1,Vehicle Laws - Licensing and Registration,,2,Other,Automobile Industry,,,,,,,,,
Matters pertaining to naloxone access,A024344, Pam  O'Sullivan, Hikma Specialty USA Inc. c/o Velocity BioGroup," Hikma Specialty USA, Inc. c/o Velocity BioGroup", Pharmaceuticals,1,Other,All matters pertaining to substance use disorders.,,,,,,,,,,,,
"Advocacy of life, property, and casualty insurance issues.",A024346, Matthew  Celentano," Funk & Bolton, P.A.", USAA," Property/Casualty, Life & Financial Services",1,Insurance - Other than Health,,,,,,,,,,,,,
Activity related to health and dental insurance issues.,A024348, Matthew  Celentano," Funk & Bolton, P.A.", Alliance of Maryland Dental Plans, Trade Association,1,Insurance - Health,,2,Insurance - Other than Health,,,,,,,,,,
,A024350, Obie  Chinemere, Rifkin Weiner Livingston LLC, Maryland Automobile Dealers Association, Trade Association,1,Other,Motor Vehicles,2,Other,Motor Vehicle Dealers & Salesmen,3,Other,Motor Vehicle Equipment,4,Other,Motor Vehicle Registrations,,,
,A024350, Obie  Chinemere, Rifkin Weiner Livingston LLC, Maryland Automobile Dealers Association, Trade Association,1,Other,Motor Vehicles,2,Other,Motor Vehicle Dealers & Salesmen,3,Other,Motor Vehicle Equipment,4,Other,Motor Vehicle Registrations,,,
,A024352, Obie  Chinemere, Rifkin Weiner Livingston LLC, Maryland Pawnbrokers Association, Trade Association,1,Other,Pawnshops,,,,,,,,,,,,
,A024354, Obie  Chinemere, Rifkin Weiner Livingston LLC, Maximus, Government Contracts,1,Other,Government Contracts,,,,,,,,,,,,
,A024356, Obie  Chinemere, Rifkin Weiner Livingston LLC," Meta Platforms, Inc.", Social Networking,1,Other,Information Technology,2,Other,Privacy,,,,,,,,,
Annapolis area reception only.,A024358," SFAAMD Association, Inc.", Dave   Vidmar," SFAAMD Association, Inc.", Insurance Sales,1,Insurance - Other than Health,Insurance sales,,,,,,,,,,,,
,A024360, Obie  Chinemere, Rifkin Weiner Livingston LLC, Modern Living Solutions, Housing Developer,1,Other,Modular Housing,,,,,,,,,,,,
,A024362, Obie  Chinemere, Rifkin Weiner Livingston LLC, Montgomery Park, Real Estate,1,Other,Real Estate,,,,,,,,,,,,
,A024364, Obie  Chinemere, Rifkin Weiner Livingston LLC, Mount Vernon Place Conservancy, Restoration,1,Other,Restoration,2,Other,City Parks,,,,,,,,,
,A024368, Obie  Chinemere, Rifkin Weiner Livingston LLC," Orsted North America, Inc.", Renewable Energy Developer,1,Energy,,,,,,,,,,,,,
,A024370, Obie  Chinemere, Rifkin Weiner Livingston LLC," Pepco Holdings, Inc.", Electric Company,1,Energy,,2,Other,Utilities,3,Other,Electricity Regulation,,,,,,
,A024372, Obie  Chinemere, Rifkin Weiner Livingston LLC, Premium Cigar Retailers Association of Maryland, Tobacco Trade Association,1,Taxes - Miscellaneous,,2,Other,Tobacco,,,,,,,,,
,A024374, Obie  Chinemere, Rifkin Weiner Livingston LLC, Reed Group, Management Solutions,1,Workers' Compensation,,2,Other,Medical Guidelines,,,,,,,,,
,A024376, Obie  Chinemere, Rifkin Weiner Livingston LLC, Sheppard Pratt Health Systems, Health System,1,Health Care Facilities and Regulation,,2,Other,Mental Health,,,,,,,,,
,A024378, Obie  Chinemere, Rifkin Weiner Livingston LLC, Skyline Technology Solutions, Information Technology,1,Other,Information Technology,,,,,,,,,,,,
Advocacy related to city budget priorities and other city issues.,A024380, Matthew  Celentano," Funk & Bolton, P.A.", City of Westminster, Municipality,1,Local Government - Generally,,2,Operating Budget,Fiber Debt,,,,,,,,,
Advocacy of life insurance issues.,A024382, Neal   Karkhanis," Funk & Bolton, P.A.", American Council of Life Insurers, Trade Association,1,Insurance - Health,,2,Insurance - Other than Health,,,,,,,,,,
hb988/sb828,A024384, Robert J Garagiola," Compass Government Relations Partners, LLC", American Fidelity, Offer certain employee benefits to both public and private sector employees,1,Other,Paid Family and Medical Leave,,,,,,,,,,,,
HB988/SB828,A024386, Addison  Pruitt," Compass Government Relations Partners, LLC", American Fidelity, Offer certain employee benefits to both public and private sector employees,1,Other,Paid Family and Medical Leave,,,,,,,,,,,,
hb988/sb828,A024388, Alexandra  Shull," Compass Government Relations Partners, LLC", American Fidelity, Offer certain employee benefits to both public and private sector employees,1,Other,Paid Family and Medical Leave,,,,,,,,,,,,
hb988/sb828,A024390, Tyler  Bennett," Compass Government Relations Partners, LLC", American Fidelity, Offer certain employee benefits to both public and private sector employees,1,Other,Paid Family and Medical Leave,,,,,,,,,,,,
Matters pertaining to massage therapists licensure,A024392, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", American Massage Therapy Association - MD Chapter, Massage Therapy,1,Business Regulation and Occupations,,2,Health Occupations,,3,Other,Massage Therapy - Education and Licensing,,,,,,
Matters pertaining to massage therapists licensure,A024394, Josh  Howe," Compass Government Relations Partners, LLC", American Massage Therapy Association - MD Chapter, Massage Therapy,1,Business Regulation and Occupations,,2,Health Occupations,,3,Other,Massage Therapy - Education and Licensing,,,,,,
,A024396, Shaun  Chapman, Brookfield Power US Asset Management LLC, Brookfield Power US Asset Management LLC, renewable energy,1,Energy,,,,,,,,,,,,,
,A024398, D. Robert Enten, Gordon Feinblatt LLC, Maryland Building Industry Association, Not-for-profit trade sssociation representing the residential building industry,1,Other,Issues affecting Home Builders,,,,,,,,,,,,
,A024400, Jason F. Weintraub, Gordon Feinblatt LLC," Albertsons Companies, Inc.", Operator of grocery stores,1,Other,"Issues affecting grocery stores, including sale of alcohol.",,,,,,,,,,,,
,A024402, Jason F. Weintraub, Gordon Feinblatt LLC, American Property Casualty Insurance Association, Property Casualty Insurance,1,Insurance - Other than Health,,,,,,,,,,,,,
,A024404, D. Robert Enten, Gordon Feinblatt LLC, CVS Health, Pharmacy benefit manager and retail pharmacy chain,1,Other,Matters affecting pharmacy benefit managers,2,Other,Prescription drugs,3,Other,Pharmacies,,,,,,
,A024406, D. Robert Enten, Gordon Feinblatt LLC," Juul Labs, Inc.", E-Cigarettes,1,Other,Matters affecting E-Cigarettes,,,,,,,,,,,,
,A024408, D. Robert Enten, Gordon Feinblatt LLC, University of Phoenix, Educational Institution,1,Other,Regulation of Universities and Colleges,,,,,,,,,,,,
,A024410, D. Robert Enten, Gordon Feinblatt LLC," SunMed Growers, LLC", Cannabis Grower,1,Other,Cannabis Issues,,,,,,,,,,,,
,A024412, D. Robert Enten, Gordon Feinblatt LLC, Maryland Thoroughbred Horsemen's Association, Trade Association Representing Thoroughbred,1,Horse Racing,,,,,,,,,,,,,
,A024414, D. Robert Enten, Gordon Feinblatt LLC," FanDuel, Inc.", Sports tech entertainment and sports wagering,1,Other,Sports betting legislation,,,,,,,,,,,,
,A024416, D. Robert Enten, Gordon Feinblatt LLC, CareFirst BlueCross BlueShield, Health insurance carrier,1,Other,Health Care,2,Other,Health Care Cost Containment,3,Other,Health Care Reform,4,Other,Health Insurance Regulations,5,Other,Health Maintenance Organizations
,A024418, D. Robert Enten, Gordon Feinblatt LLC, AFSCME Council 3, Labor Union,1,Other,General public employee union issues,,,,,,,,,,,,
,A024420, D. Robert Enten, Gordon Feinblatt LLC, Maryland Multi-Housing Association, Association,1,Other,Legislation affecting owners of residential rental properties,,,,,,,,,,,,
,A024422, D. Robert Enten, Gordon Feinblatt LLC," Greenmount OTB, LLC", OTB,1,Other,Sports betting,,,,,,,,,,,,
,A024424, D. Robert Enten, Gordon Feinblatt LLC, Clean Fuels Alliance America, biofuels,1,Other,Matters affecting biofuels,,,,,,,,,,,,
,A024426, D. Robert Enten, Gordon Feinblatt LLC," JVW Investments, LLC dba Tidal Creek Growers", plant production,1,Environment,,,,,,,,,,,,,
,A024428, D. Robert Enten, Gordon Feinblatt LLC, National Council of State Boards of Nursing (NCSBN)," Non-profit for nursing regulatory bodies to work together on issues of public health, safety and welfare.",1,Health Occupations,Nursing,2,Public Health,,3,Public Safety,Public safety and welfare,,,,,,
,A024430, Jason F. Weintraub, Gordon Feinblatt LLC," Greenmount OTB, LLC", OTB,1,Other,Sports betting,,,,,,,,,,,,
,A024432, Jason F. Weintraub, Gordon Feinblatt LLC, National Council of State Boards of Nursing (NCSBN)," Non-profit for nursing regulatory bodies to work together on issues of public health, safety and welfare.",1,Health Occupations,Nursing,2,Public Health,,3,Public Safety,Public safety and welfare,,,,,,
,A024434, Jason F. Weintraub, Gordon Feinblatt LLC, CareFirst BlueCross BlueShield, Health insurance carrier,1,Other,Health Care,2,Other,Health Care Cost Containment,3,Other,Health Care Reform,4,Other,Health Insurance Regulations,5,Other,Health Maintenance Organizations
,A024436, Jason F. Weintraub, Gordon Feinblatt LLC," Juul Labs, Inc.", E-Cigarettes,1,Other,Matters affecting E-Cigarettes,,,,,,,,,,,,
,A024438, Jason F. Weintraub, Gordon Feinblatt LLC, Maryland Thoroughbred Horsemen's Association, Trade Association Representing Thoroughbred,1,Horse Racing,,,,,,,,,,,,,
,A024440, Jason F. Weintraub, Gordon Feinblatt LLC," Mayor and City of Baltimore, The", Local Government,1,Other,Budgetary and Fiscal Matters,,,,,,,,,,,,
,A024442, Jason F. Weintraub, Gordon Feinblatt LLC, Maryland Bankers Association," Association of financial/commercial institutions including, but not limited to banks and savings associations",1,Other,Matters affecting banking and the financial services industry,,,,,,,,,,,,
,A024444, Jason F. Weintraub, Gordon Feinblatt LLC, University of Phoenix, Educational Institution,1,Other,Regulation of Universities and Colleges,,,,,,,,,,,,
,A024446, Jason F. Weintraub, Gordon Feinblatt LLC, AFSCME Council 3, Labor Union,1,Other,General public employee union issues,,,,,,,,,,,,
,A024448, Jason F. Weintraub, Gordon Feinblatt LLC, CVS Health, Pharmacy benefit manager and retail pharmacy chain,1,Other,Matters affecting pharmacy benefit managers,2,Other,Prescription drugs,3,Other,Pharmacies,,,,,,
,A024450, Jason F. Weintraub, Gordon Feinblatt LLC, Maryland Building Industry Association, Not-for-profit trade sssociation representing the residential building industry,1,Other,Issues affecting Home Builders,,,,,,,,,,,,
,A024452, Jason F. Weintraub, Gordon Feinblatt LLC," FanDuel, Inc.", Sports tech entertainment and sports wagering,1,Other,Sports betting legislation,,,,,,,,,,,,
Matters pertaining to renewable energy; offshore wind,A024454, Alexandra  Shull," Compass Government Relations Partners, LLC", American Clean Power, Wind Energy,1,Energy,,2,Environment,,,,,,,,,,
Matters pertaining to renewable energy; offshore wind,A024456, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", American Clean Power, Wind Energy,1,Energy,,2,Environment,,,,,,,,,,
Open Beds platform - procurement; HB271; SB255,A024458, Alexandra  Shull," Compass Government Relations Partners, LLC", Bamboo Health, Care coordination,1,Other,Information Technology,,,,,,,,,,,,
hb451/sb528,A024460, Robert J Garagiola," Compass Government Relations Partners, LLC", Coalition of Ignition Interlock Manufacturers, Ignition Interlock Manufacturing,1,Vehicle Laws - Drunk Driving,,2,Other,Ignition Interlock legislation,,,,,,,,,
,A024462, Tyler  Bennett," Compass Government Relations Partners, LLC", Coalition of Ignition Interlock Manufacturers, Ignition Interlock Manufacturing,1,Vehicle Laws - Drunk Driving,,2,Other,Ignition Interlock legislation,,,,,,,,,
,A024464, Alexandra  Shull," Compass Government Relations Partners, LLC", Coalition of Ignition Interlock Manufacturers, Ignition Interlock Manufacturing,1,Vehicle Laws - Drunk Driving,,2,Other,Ignition Interlock legislation,,,,,,,,,
Procurement,A024466, Tyler  Bennett," Compass Government Relations Partners, LLC", CVS Health and All Affiliated Subsidiaries, Health Care,1,State Government - Procurement,,,,,,,,,,,,,
Procurement,A024468, Robert J Garagiola," Compass Government Relations Partners, LLC", CVS Health and All Affiliated Subsidiaries, Health Care,1,State Government - Procurement,,,,,,,,,,,,,
procurement,A024470, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", CVS Health and All Affiliated Subsidiaries, Health Care,1,State Government - Procurement,,,,,,,,,,,,,
"Matters pertaining to alcoholic beverages - manufacturing, taxation, marketing, sale",A024472, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC"," Distilled Spirits Council of the United States, Inc.", Distilled Spirits,1,Alcoholic Beverages - Statewide Bills,,2,Alcoholic Beverages - Local Bills,,3,Taxes - Miscellaneous,,,,,,,
"Matters pertaining to alcoholic beverages - sale, manufacturing, taxation",A024474, Robert J Garagiola," Compass Government Relations Partners, LLC"," Distilled Spirits Council of the United States, Inc.", Distilled Spirits,1,Alcoholic Beverages - Statewide Bills,,2,Alcoholic Beverages - Local Bills,,3,Taxes - Miscellaneous,,,,,,,
Matters pertaining to organ donation,A024476, Tyler  Bennett," Compass Government Relations Partners, LLC"," Donate Life Maryland, Inc.", Organ Donation,1,Other,Organ Donation,,,,,,,,,,,,
hb230'sb224; rental vehicle matters,A024478, Robert J Garagiola," Compass Government Relations Partners, LLC", Enterprise RAC Company of Maryland LLC, Rental Car Industry,1,Vehicle Laws - Miscellaneous,Rental Vehicles,2,Insurance - Other than Health,,,,,,,,,,
hb230/sb224,A024480, Tyler  Bennett," Compass Government Relations Partners, LLC", Enterprise RAC Company of Maryland LLC, Rental Car Industry,1,Vehicle Laws - Miscellaneous,Rental Vehicles,2,Insurance - Other than Health,,,,,,,,,,
Budget funding,A024482, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", Girl Scouts of Central Maryland, Regional Organization for the Girl Scouts,1,Other,Operating Budget,2,Other,State Funding,,,,,,,,,
Matters pertaining to health care cost containment; care management programs,A024484, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", Gainwell Holding Corp., Health Management Solutions,1,Health Care Facilities and Regulation,,2,Other,Care Management & Occupational Health Programs,3,Other,Healthcare Cost Containment,,,,,,
Matters pertaining to health care facilities and cost containment,A024486, Tyler  Bennett," Compass Government Relations Partners, LLC", Gainwell Holding Corp., Health Management Solutions,1,Health Care Facilities and Regulation,,2,Other,Care Management & Occupational Health Programs,3,Other,Healthcare Cost Containment,,,,,,
,A024488, Tyler  Bennett," Compass Government Relations Partners, LLC"," MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)", Trade Association,1,Energy,,,,,,,,,,,,,
hb271/sb3; sb255; Open Beds platform,A024490, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", Bamboo Health, Care coordination,1,Other,Information Technology,,,,,,,,,,,,
SB469; SB663; SB697; SB664; SB548; SB489; SB143,A024492, Eleanor Colmers Cowan," Compass Government Relations Partners, LLC"," MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)", Trade Association,1,Energy,,,,,,,,,,,,,
Matters pertaining to health care sharing organizations,A024494, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", Christian Healthcare Ministries, Health Care Sharing Ministries,1,Insurance - Health,Policy related to healthcare sharing ministries,,,,,,,,,,,,
Matters pertaining to healthcare cost sharing organizations,A024496, Tyler  Bennett," Compass Government Relations Partners, LLC", Christian Healthcare Ministries, Health Care Sharing Ministries,1,Insurance - Health,Policy related to healthcare sharing ministries,,,,,,,,,,,,
hb455/sb363; hb1128/sb856,A024498, Robert J Garagiola," Compass Government Relations Partners, LLC", Cloverleaf Standardbred Owners Association, Horse racing and breeding,1,Horse Racing,,,,,,,,,,,,,
HB1035/SB905; HB230/SB224; HB793,A024500, Addison  Pruitt," Compass Government Relations Partners, LLC", Ceres, Environment & Business,1,Transportation - Generally,,2,Environment,,,,,,,,,,
hb1035/sb905; hb230/sb224; hb793,A024502, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", Ceres, Environment & Business,1,Transportation - Generally,,2,Environment,,3,Other,Business Issues,,,,,,
sb469; sb663; sb697;sb664;sb548;sb489,A024504, Robert J Garagiola," Compass Government Relations Partners, LLC"," MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)", Trade Association,1,Energy,,,,,,,,,,,,,
HB455/SB363; HB1128/SB856,A024506, Alexandra  Shull," Compass Government Relations Partners, LLC", Cloverleaf Standardbred Owners Association, Horse racing and breeding,1,Horse Racing,,,,,,,,,,,,,
hb908; sb613; sb469; hb68/sb143,A024508, Robert J Garagiola," Compass Government Relations Partners, LLC"," Coalition for Community Solar Access, Inc.", Solar Energy,1,Energy,Solar Energy,,,,,,,,,,,,
 Maryland SB781/HB793 - Promoting Offshore Wind Energy Resources (POWER) Act; Maryland SB613/HB908 - Electricity - Community Solar Energy Generating Systems Program and Property Taxes; Maryland SB224/HB230 - Clean Trucks Act of 2023; Montgomery County Bill 13-22 - Comprehensive Building Decarbonization Bill; Howard County Bill CB5-2023 - Clean New Buildings Climate Act; EmPOWER Maryland Limited Income Energy Efficiency Program; Renewable Portfolio Standard reforms.,A024512, CCAN Action Fund, Kevin  Chartrand, CCAN Action Fund, Climate/Global Warming Matters,1,Environment,Climate/Global Warming Matters,2,Energy,,3,Elections,,4,Economic and Community Development,,5,Transportation - Generally,
HB908; SB613; SB469; HB68/SB143,A024514, Alexandra  Shull," Compass Government Relations Partners, LLC"," Coalition for Community Solar Access, Inc.", Solar Energy,1,Energy,Solar Energy,,,,,,,,,,,,
HB451/SB528; Matters pertaining to driving under the influence,A024516, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", Coalition of Ignition Interlock Manufacturers, Ignition Interlock Manufacturing,1,Vehicle Laws - Drunk Driving,,2,Other,Ignition Interlock legislation,,,,,,,,,
Budget funding requests,A024518, Tyler  Bennett," Compass Government Relations Partners, LLC", Girl Scouts of Central Maryland, Regional Organization for the Girl Scouts,1,Other,Operating Budget,2,Other,State Funding,,,,,,,,,
hb259/sb824; sb1,A024520, Robert J Garagiola," Compass Government Relations Partners, LLC", Giffords, Firearms Safety,1,Public Safety,Gun Violence Prevention,,,,,,,,,,,,
HB259/SB824; SB1,A024522, Eleanor Colmers Cowan," Compass Government Relations Partners, LLC", Giffords, Firearms Safety,1,Public Safety,Gun Violence Prevention,,,,,,,,,,,,
"HB259, HB824; SB1;",A024524, Morgan  Mills," Compass Government Relations Partners, LLC", Giffords, Firearms Safety,1,Public Safety,Gun Violence Prevention,,,,,,,,,,,,
Monitor all dental and healthcare bills that may impact the dental business.,A024526, Gary R Jones," Baxter, Baker, Sidle, Conn & Jones, P.A", Association of Dental Support Organizations, Trade Organization for Dental Practice Management and Support,1,Other,Trade organization for dental practice management and support,,,,,,,,,,,,
HB550; HB230; SB224; SB548,A024528, Richard A Tabuteau," Tabuteau, LLC", Volvo Group North America, Truck manufacturing,1,Environment,,2,Private Sector Labor and Industry,,3,Transportation - Generally,,,,,,,
Monitor all dental and healthcare bills that may impact dental business.,A024530, Gary R Jones," Baxter, Baker, Sidle, Conn & Jones, P.A", Heartland Dental, Dental Support Organization,1,Other,Changes to the dental practice act and administrative procedure act,,,,,,,,,,,,
,A024532, Richard A Tabuteau," Tabuteau, LLC"," Catalyte, Inc.", Information technology,1,State Government - Procurement,,,,,,,,,,,,,
,A024534, Richard A Tabuteau," Tabuteau, LLC"," Zscaler, Inc.", Cybersecurity,1,State Government - Procurement,,,,,,,,,,,,,
SB441/HB813- Maryland Medical Assistance Program - Prescription Digital Therapeutics,A024536, Richard A Tabuteau," Tabuteau, LLC"," Pear Therapeutics (US), Inc."," All matters related to healthcare, medical device, and digital therapeutics.",1,Public Health,,2,Insurance - Health,,,,,,,,,,
Monitor all hospital related legislation.,A024538, Gary R Jones," Baxter, Baker, Sidle, Conn & Jones, P.A", University of Maryland Charles Regional Medical Center, Hospital,1,Other,Hospital,,,,,,,,,,,,
SB516/HB556,A024540, Gary R Jones," Baxter, Baker, Sidle, Conn & Jones, P.A", Growing Ventures d/b/a Greenhouse Wellness, Cannibus Store,1,Other,Recreational cannibus regulations and licensure application,,,,,,,,,,,,
Monitor all dental and healthcare bills that may impact the dental business.,A024542, Danielle M Vranian," Baxter, Baker, Sidle, Conn & Jones, P.A.", Association of Dental Support Organizations, Trade Organization for Dental Practice Management and Support,1,Other,Trade organization for dental practice management and support,,,,,,,,,,,,
SB516/HB556,A024544, Danielle M Vranian," Baxter, Baker, Sidle, Conn & Jones, P.A.", Growing Ventures d/b/a Greenhouse Wellness, Cannibus Store,1,Other,Recreational cannibus regulations and licensure application,,,,,,,,,,,,
Monitor all dental and healthcare bills that may impact dental business.,A024546, Danielle M Vranian," Baxter, Baker, Sidle, Conn & Jones, P.A.", Heartland Dental, Dental Support Organization,1,Other,Changes to the dental practice act and administrative procedure act,,,,,,,,,,,,
HB815/SB965; SB184/HB376; SB673/HB727,A024548, Danielle M Vranian," Baxter, Baker, Sidle, Conn & Jones, P.A.", Maryland Radiological Society, Professional Association of Licensed Radiologists,1,Other,Professional Association of licensed radiologists,,,,,,,,,,,,
HB815/SB965; SB184/HB376; SB673/HB727,A024550, Danielle M Vranian," Baxter, Baker, Sidle, Conn & Jones, P.A.", Quality Imaging Access Coalition of Maryland, Medical Services Coalition,1,Other,Medical services coalition,,,,,,,,,,,,
Procurement,A024552, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", HNTB Corporation, Construction Engineering,1,State Government - Procurement,,,,,,,,,,,,,
Monitor all business regulation bills and any other legislation that may impact the scrap metal recycling business.,A024554, Danielle M Vranian," Baxter, Baker, Sidle, Conn & Jones, P.A."," Sims ARG, Inc.", Metal Recycling,1,Other,Metal Recycling,,,,,,,,,,,,
Procurement,A024556, Alexandra  Shull," Compass Government Relations Partners, LLC", HNTB Corporation, Construction Engineering,1,State Government - Procurement,,,,,,,,,,,,,
Monitor all hospital related legislation.,A024558, Danielle M Vranian," Baxter, Baker, Sidle, Conn & Jones, P.A.", University of Maryland Charles Regional Medical Center, Hospital,1,Other,Hospital,,,,,,,,,,,,
,A024560, Elisabeth  Levine, KO Public Affairs, We Work for Health," Patient advocacy and research, economic development",1,Business Regulation and Occupations,,2,Economic and Community Development,,3,Public Health,,,,,,,
,A024562, Elisabeth  Levine, KO Public Affairs, Maryland State Dental Association, Professional Association,1,Health Occupations,,2,Insurance - Health,,3,Health Care Facilities and Regulation,,4,Public Health,,,,
Advocacy related to health insurance issues.,A024564, Neal   Karkhanis," Funk & Bolton, P.A."," Elevance Health, and its Affiliates", Medicaid Managed Care Organization,1,Insurance - Health,,,,,,,,,,,,,
Advocacy related to health insurance issues.,A024566, Matthew  Celentano," Funk & Bolton, P.A."," Elevance Health, and its Affiliates", Medicaid Managed Care Organization,1,Insurance - Health,,,,,,,,,,,,,
Advocacy related to health insurance issues.,A024568, Philemon  Kendzierski," Funk & Bolton, P.A."," Elevance Health, and its Affiliates", Medicaid Managed Care Organization,1,Insurance - Health,,,,,,,,,,,,,
Legislative,A024570, Michael  Walsh, Capitol Strategies, Capitol Strategies LLC, Government Relations,1,Other,All matters pertaining to clients,,,,,,,,,,,,
Procurement,A024572, Alexandra  Shull," Compass Government Relations Partners, LLC", InState Partners, Government Relations,1,State Government - Procurement,,2,"State Government - Agencies, Offices, and Officials",,,,,,,,,,
Procurement,A024574, Hannah  Powers Garagiola," Compass Government Relations Partners, LLC", InState Partners, Government Relations,1,State Government - Procurement,,2,"State Government - Agencies, Offices, and Officials",,,,,,,,,,
Procurement,A024576, Tyler  Bennett," Compass Government Relations Partners, LLC", InState Partners, Government Relations,1,State Government - Procurement,,2,"State Government - Agencies, Offices, and Officials",,,,,,,,,,
,A024578, Robert J Garagiola," Compass Government Relations Partners, LLC", HNTB Corporation, Construction Engineering,1,State Government - Procurement,,,,,,,,,,,,,
Procurement,A024580, Tyler  Bennett," Compass Government Relations Partners, LLC", HNTB Corporation, Construction Engineering,1,State Government - Procurement,,,,,,,,,,,,,
"SB 202; HB 279;
HB 650; SB 398;
COMAR 14.01 PDAB Policy and Regulations",A024582, Kelly  Memphis, Healthcare Distribution Alliance, Healthcare Distribution Alliance, Healthcare,1,Other,healthcare,,,,,,,,,,,,
Disease and pipeline education and awareness,A024584, Michelle  Jacquis, Vertex Pharmaceuticals Incorporated, Vertex Pharmaceuticals Incorporated, Pharmaceutical Manufacturer,1,Other,Health care; pharmaceutical industry issues; health insurance; budget,,,,,,,,,,,,
"Grants to nonprofits, HB 1226, SB53/HB 84, SB 186/HB 1248, SB 112/HB 328, SB 551/HB 546, SB 552/HB 547, SB 55/HB 549",A024586, Neil  Bergsman, Maryland Nonprofits, Maryland Nonprofits, Association of nonprofit organizations,1,Other,State budget,2,Other,Nonprofit organizations,3,Social Services - Generally,,,,,,,
,A024587, Neil  Bergsman, Maryland Nonprofits, Maryland Nonprofits, Association of nonprofit organizations,1,Other,State budget,2,Other,Nonprofit organizations,3,Social Services - Generally,,,,,,,
Legislation,A024588, Sushant  Sidh," Capitol Strategies, LLC"," Residences at Benning Road LLC, The", Senior Housing,1,Elderly,,,,,,,,,,,,,
Legislation,A024588, Sushant  Sidh," Capitol Strategies, LLC"," Residences at Benning Road LLC, The", Senior Housing,1,Elderly,,,,,,,,,,,,,
,A024590, Sushant  Sidh," Capitol Strategies, LLC", Alstom, Transportation,1,Transportation - Generally,,,,,,,,,,,,,
Legislation,A024592, Sushant  Sidh," Capitol Strategies, LLC"," Constellation Energy Generation, LLC", Electricity and gas generation and distribution,1,Energy,,,,,,,,,,,,,
Legislation,A024594, Sushant  Sidh," Capitol Strategies, LLC"," American Express Travel Related Services, Inc.", Financial Services,1,Financial Institutions,,,,,,,,,,,,,
Legislation,A024596, Sushant  Sidh," Capitol Strategies, LLC"," Allegis, Redwood, Maxim Public Affairs, LLC", Investment,1,Other,Other,,,,,,,,,,,,
Legislation,A024598, Sushant  Sidh," Capitol Strategies, LLC", Verizon Communications, Telecommunications,1,Other,Telecommunications,,,,,,,,,,,,
